from,to,weight
6064,3143,0.001439595
6064,16371,0.00088369125
6064,14321,0.0006738736
6064,26601,0.0017716723
6064,5537,0.002575715
6064,4106,0.0026996497
6064,1012,0.0033108634
6064,2093,0.0013879134
6064,2367,0.0016954403
6064,4127,0.0023169178
6064,1997,0.00159152
6064,3117,0.0017416067
6064,2309,0.0011139471
6064,2918,0.0014348343
6064,20885,0.0018946943
6064,2015,0.0014134886
6064,1998,0.0019580994
6064,1037,0.0012813252
6064,1016,0.0008119478
6064,2918,0.0011080538
6064,1011,0.00086593843
6064,3940,0.0010166647
6064,16371,0.0009009762
6064,14321,0.00083565846
6064,26601,0.0021591426
6064,3972,0.0014089454
6064,20624,0.0009981716
6064,2239,0.001314027
6064,2020,0.0021291838
6064,4453,0.0028161593
6064,1012,0.01229496
6064,5776,0.0016573835
6064,1044,0.00066127576
6064,2497,0.00058092165
6064,1011,0.0005934641
6064,1019,0.000660314
6064,2018,0.0008284839
6064,2048,0.00033897412
6064,2391,0.0006299237
6064,14494,0.0022889876
6064,1999,0.0005988613
6064,2010,0.0014873954
6064,5387,0.0011695911
6064,11814,0.00089766394
6064,4962,0.0017526703
6064,1012,0.0014209166
6064,2028,0.0003876391
6064,2001,0.0006317613
6064,2284,0.0007627706
6064,2012,0.00067279674
6064,1996,0.0008716152
6064,15543,0.0014920706
6064,2555,0.0010141704
6064,2012,0.00071941677
6064,16371,0.0005307857
6064,14321,0.0005975886
6064,26601,0.0016728794
6064,1011,0.0006375269
6064,6535,0.00061728765
6064,2509,0.00058922154
6064,1998,0.0007675511
6064,1996,0.0005009862
6064,2060,0.00036553998
6064,1006,0.00038341453
6064,1039,0.00028067775
6064,1011,0.00030252704
6064,2000,0.00033331025
6064,1011,0.0002910332
6064,1056,0.00045742426
6064,6653,0.0004968775
6064,1007,0.00030311837
6064,2001,0.0004318636
6064,2179,0.0008106588
6064,1999,0.0004474452
6064,4654,0.0004753388
6064,2239,0.0003718277
6064,6819,0.00048352944
6064,1997,0.00044006036
6064,1996,0.00047029502
6064,4962,0.0012805659
6064,5278,0.00037444592
6064,1043,0.0002332996
6064,19666,0.00045658316
6064,1011,0.00035958237
6064,19871,0.0005079576
6064,2000,0.00034752773
6064,1037,0.00027046216
6064,2644,0.000465731
6064,19429,0.00047009325
6064,2239,0.00036291088
6064,1012,0.0011084779
6064,5776,0.00070211926
6064,1044,0.00025404777
6064,2497,0.0001898403
6064,1011,0.00025477482
6064,1020,0.00029694088
6064,2018,0.00042345905
6064,1037,0.0002623505
6064,2391,0.00031888782
6064,16221,0.0011632622
6064,1006,0.0002588198
6064,1043,0.00021044459
6064,1011,0.00019749669
6064,2000,0.00023773439
6064,1011,0.00019577688
6064,1037,0.00016639245
6064,1007,0.00020688197
6064,1999,0.00026871776
6064,1996,0.00033666557
6064,11867,0.000247125
6064,13231,0.0014823216
6064,5138,0.00031332765
6064,2953,0.00033325108
6064,2609,0.00055756577
6064,1010,0.006588424
6064,2029,0.00021947625
6064,7153,0.00045608022
6064,1996,0.00033824352
6064,3671,0.00047628934
6064,11867,0.00031797183
6064,10415,0.00073895353
6064,2075,0.000221519
6064,1997,0.00027564252
6064,1996,0.00026999667
6064,2197,0.0003019802
6064,17174,0.00072974805
6064,2078,0.00029625502
6064,1043,0.0001973017
6064,1012,0.021801943
6064,1037,0.0006951493
6064,2235,0.0005974731
6064,2048,0.0004811414
6064,1011,0.0005097651
6064,16371,0.00056031876
6064,14321,0.00032918333
6064,26601,0.001272435
6064,3972,0.00031644647
6064,20624,0.0005214894
6064,2239,0.0005186624
6064,1999,0.00028798208
6064,4654,0.0006321082
6064,2239,0.0003425089
6064,3523,0.00038522875
6064,2001,0.00044446258
6064,11156,0.001138993
6064,1999,0.00031955462
6064,5776,0.00051950134
6064,1044,0.00027689856
6064,2497,0.00019931074
6064,1011,0.00022258902
6064,1021,0.0002151154
6064,1998,0.00028771636
6064,17544,0.00062458747
6064,11048,0.000550153
6064,4048,0.00017380643
6064,18915,0.00036972357
6064,13096,0.00086325576
6064,12737,0.00057474646
6064,1998,0.0002562681
6064,12527,0.00041364695
6064,2011,0.00021748773
6064,1037,0.00017354568
6064,2644,0.00037483242
6064,19429,0.00045955545
6064,2239,0.00045763448
6064,1012,0.021837695
6064,2122,0.0005131093
6064,24501,0.0004735891
6064,2271,0.00045290278
6064,21593,0.00094498956
6064,6592,0.0006447273
6064,2008,0.00026824183
6064,2025,0.00019273414
6064,2069,0.00014224664
6064,1996,0.000269188
6064,7977,0.0008492987
6064,4962,0.0009101926
6064,3972,0.00021262198
6064,20624,0.00031916783
6064,2239,0.00029517323
6064,1997,0.00041599723
6064,5387,0.0007206139
6064,11814,0.0004449613
6064,4962,0.0012881065
6064,2021,0.00023265452
6064,2036,0.00017340055
6064,1996,0.00021958604
6064,2391,0.00040535003
6064,14494,0.0013767505
6064,2030,0.00034838708
6064,2235,0.0004230181
6064,16371,0.00035940064
6064,14321,0.00031870505
6064,26601,0.0011471267
6064,3972,0.00024576712
6064,20624,0.00032108242
6064,2239,0.00034175944
6064,2008,0.00023044563
6064,2089,0.0002050296
6064,3426,0.00035869895
6064,1996,0.00776046
6064,24191,0.0004920189
6064,1997,0.00035724524
6064,16861,0.0014559968
6064,2592,0.0006985118
6064,2015,0.0004485499
6064,2005,0.00046544016
6064,9677,0.00055842084
6064,5250,0.0016389113
6064,10752,0.0020764703
6064,2003,0.0003312057
6064,3653,0.00028470962
6064,10521,0.00038970655
6064,19155,0.00033358304
6064,2000,0.00032161397
6064,2458,0.00052863854
6064,1997,0.00064885843
6064,3424,0.0005868209
6064,1011,0.00032921633
6064,5387,0.00065757864
6064,11814,0.00051328656
6064,25456,0.0022228297
6064,1999,0.00055694784
6064,5022,0.00092582806
6064,2007,0.0004447266
6064,19610,0.0004064606
6064,7361,0.00027263165
6064,19466,0.0005422886
6064,2401,0.0004997707
6064,1038,0.0005411101
6064,1012,0.0010574221
6064,102,0.32993942
5537,101,0.08393755
5537,6064,0.061044957
5537,5537,0.024653263
5537,4106,0.06739797
5537,1997,0.013242319
5537,2093,0.007211864
5537,24054,0.006468157
5537,1011,0.002741798
5537,3893,0.0031497665
5537,19610,0.0016849664
5537,7361,0.0009497396
5537,19466,0.0013770426
5537,2401,0.0024619391
5537,1038,0.0028554846
5537,5022,0.0059399214
5537,2302,0.0044650054
5537,7977,0.0032364512
5537,4962,0.0037795554
5537,3972,0.0015428535
5537,20624,0.0010673322
5537,2239,0.0014925251
5537,1024,0.009041376
5537,8720,0.003985453
5537,1997,0.0019939514
5537,2176,0.0014787249
5537,3117,0.0022561916
5537,14494,0.0036249384
5537,1999,0.0033042629
5537,5387,0.0025876553
5537,11814,0.001545542
5537,4962,0.0036606798
5537,1012,0.0054169893
5537,2093,0.0013496086
5537,19610,0.0009935836
5537,7361,0.00052288844
5537,19466,0.0008448798
5537,2401,0.0010890819
5537,1038,0.00082996994
5537,5022,0.001895359
5537,2007,0.0012448011
5537,3424,0.0010290862
5537,1011,0.0007169871
5537,5387,0.0014375983
5537,11814,0.0007134573
5537,22931,0.00371937
5537,2040,0.0012720014
5537,2018,0.00080391375
5537,2053,0.0007293243
5537,11487,0.001046464
5537,3085,0.0006584565
5537,7977,0.0012880726
5537,3972,0.00056304014
5537,20624,0.0006416593
5537,2239,0.000608467
5537,1997,0.00077187724
5537,1996,0.0010759741
5537,5387,0.0013948829
5537,11814,0.00060345145
5537,4962,0.0022637371
5537,2011,0.0010766124
5537,2670,0.00086435775
5537,1038,0.00050811784
5537,10994,0.0009840893
5537,3436,0.0010810887
5537,4106,0.0025323855
5537,2020,0.0013230555
5537,10847,0.0026449098
5537,2012,0.0010586233
5537,1996,0.0060795345
5537,8382,0.0019440893
5537,2504,0.0008699515
5537,1012,0.015579482
5537,2035,0.0011176737
5537,2809,0.0007976783
5537,4654,0.0017627084
5537,5644,0.0022982734
5537,1010,0.0008727726
5537,5642,0.00058859313
5537,2011,0.00036299424
5537,2037,0.00065728556
5537,11867,0.00038202666
5537,10415,0.0012331969
5537,2075,0.00053083553
5537,5098,0.0013579869
5537,4573,0.0009861827
5537,1998,0.000801642
5537,3653,0.00029528435
5537,17421,0.00040402662
5537,24971,0.00057440525
5537,15543,0.0016129265
5537,4655,0.0009428215
5537,1997,0.0004587755
5537,1996,0.0005615462
5537,5387,0.00094400946
5537,11814,0.00049858633
5537,4962,0.0017574765
5537,1999,0.00084491394
5537,2122,0.00057111523
5537,5022,0.0014796174
5537,1006,0.00063815207
5537,2561,0.0008274262
5537,1019,0.00034262793
5537,1012,0.000501173
5537,1019,0.00036128928
5537,21677,0.0020423871
5537,1999,0.00076323136
5537,3091,0.0010040535
5537,1007,0.014626337
5537,2020,0.0012577011
5537,26986,0.0020191206
5537,2007,0.0012644227
