split,index,nodes,total_values_for_nodes,edges,total_values_for_edges,total_values_for_graph
train,374,1135,871680,19085,2748240,3619920
train,375,1186,910848,20060,2888640,3799488
train,376,1003,770304,16314,2349216,3119520
train,377,1338,1027584,23231,3345264,4372848
train,378,1358,1042944,23671,3408624,4451568
train,379,1367,1049856,23875,3438000,4487856
train,380,1560,1198080,27856,4011264,5209344
train,381,1110,852480,18505,2664720,3517200
train,382,1690,1297920,30563,4401072,5698992
train,383,1158,889344,19510,2809440,3698784
train,384,1108,850944,18460,2658240,3509184
train,385,1340,1029120,23274,3351456,4380576
train,386,1203,923904,20412,2939328,3863232
train,387,1552,1191936,27695,3988080,5180016
train,388,1206,926208,20475,2948400,3874608
train,389,1371,1052928,23968,3451392,4504320
train,390,1117,857856,18665,2687760,3545616
train,391,1126,864768,18873,2717712,3582480
train,392,1104,847872,18371,2645424,3493296
train,393,1204,924672,20433,2942352,3867024
train,394,1173,900864,19800,2851200,3752064
train,395,1039,797952,17019,2450736,3248688
train,396,1110,852480,18505,2664720,3517200
train,397,1118,858624,18688,2691072,3549696
train,398,1171,899328,19760,2845440,3744768
train,399,1350,1036800,23493,3382992,4419792
train,400,1163,893184,19605,2823120,3716304
train,401,1189,913152,20121,2897424,3810576
train,402,1054,809472,17313,2493072,3302544
train,403,1260,967680,21690,3123360,4091040
train,404,958,735744,15307,2204208,2939952
train,405,993,762624,16082,2315808,3078432
train,406,1219,936192,20755,2988720,3924912
train,407,1136,872448,19103,2750832,3623280
train,408,1101,845568,18304,2635776,3481344
train,409,1291,991488,22268,3206592,4198080
train,410,1304,1001472,22524,3243456,4244928
train,411,1483,1138944,26277,3783888,4922832
train,412,1279,982272,22039,3173616,4155888
train,413,1070,821760,17639,2540016,3361776
train,414,1320,1013760,22850,3290400,4304160
train,415,1172,900096,19780,2848320,3748416
train,416,1221,937728,20799,2995056,3932784
train,417,1210,929280,20561,2960784,3890064
train,418,1305,1002240,22544,3246336,4248576
train,419,1210,929280,20561,2960784,3890064
train,420,2130,1635840,39810,5732640,7368480
train,421,1059,813312,17414,2507616,3320928
train,422,1010,775680,16479,2372976,3148656
train,423,1441,1106688,25373,3653712,4760400
train,424,1176,903168,19859,2859696,3762864
train,425,1252,961536,21502,3096288,4057824
train,426,1138,873984,19139,2756016,3630000
train,427,1400,1075200,24570,3538080,4613280
train,428,1221,937728,20799,2995056,3932784
train,429,1046,803328,17155,2470320,3273648
train,430,1137,873216,19121,2753424,3626640
train,431,1364,1047552,23807,3428208,4475760
train,432,1062,815616,17475,2516400,3332016
train,433,1129,867072,18943,2727792,3594864
train,434,1349,1036032,23471,3379824,4415856
train,435,1207,926976,20497,2951568,3878544
train,436,1257,965376,21619,3113136,4078512
train,437,1167,896256,19682,2834208,3730464
train,438,1664,1277952,30046,4326624,5604576
train,439,1121,860928,18757,2701008,3561936
train,440,1258,966144,21643,3116592,4082736
train,441,1134,870912,19061,2744784,3615696
train,442,1181,907008,19959,2874096,3781104
train,443,1285,986880,22153,3190032,4176912
train,444,1161,891648,19567,2817648,3709296
train,445,1111,853248,18528,2668032,3521280
train,446,1466,1125888,25901,3729744,4855632
train,447,1073,824064,17702,2549088,3373152
train,448,1109,851712,18483,2661552,3513264
train,449,1204,924672,20433,2942352,3867024
train,450,1219,936192,20755,2988720,3924912
train,451,1523,1169664,27138,3907872,5077536
train,452,1258,966144,21643,3116592,4082736
train,453,1321,1014528,22871,3293424,4307952
train,454,1145,879360,19266,2774304,3653664
train,455,1272,976896,21910,3155040,4131936
train,456,1155,887040,19453,2801232,3688272
train,457,1201,922368,20371,2933424,3855792
train,458,924,709632,14609,2103696,2813328
train,459,1256,964608,21595,3109680,4074288
train,460,1271,976128,21890,3152160,4128288
train,461,1368,1050624,23898,3441312,4491936
train,462,1337,1026816,23209,3342096,4368912
train,463,1093,839424,18128,2610432,3449856
train,464,1254,963072,21548,3102912,4065984
train,465,1182,907776,19979,2876976,3784752
train,466,1354,1039872,23582,3395808,4435680
train,467,1147,880896,19303,2779632,3660528
train,468,1153,885504,19415,2795760,3681264
train,469,1195,917760,20245,2915280,3833040
train,470,1131,868608,18990,2734560,3603168
train,471,1132,869376,19014,2738016,3607392
train,472,1242,953856,21270,3062880,4016736
train,473,1026,787968,16772,2415168,3203136
train,474,1259,966912,21666,3119904,4086816
train,475,1057,811776,17374,2501856,3313632
train,476,1224,940032,20865,3004560,3944592
train,477,1232,946176,21043,3030192,3976368
train,478,1124,863232,18826,2710944,3574176
train,479,1347,1034496,23426,3373344,4407840
train,480,1267,973056,21817,3141648,4114704
train,481,1313,1008384,22706,3269664,4278048
train,482,1488,1142784,26390,3800160,4942944
train,483,1418,1089024,24913,3587472,4676496
train,484,976,749568,15699,2260656,3010224
train,485,1385,1063680,24296,3498624,4562304
train,486,1100,844800,18282,2632608,3477408
