dataset,index,split,LLM,approach,left_stride,right_stride,threshold,time,nodes,edges,density
Ohsumed,407,validation,FacebookAI/roberta-large,Grouped,128,128,0.95,0.09359622001647949,96,461,0.05002170138888889
Ohsumed,407,validation,FacebookAI/roberta-large,Grouped,128,128,0.95,0.09175634384155273,96,461,0.05002170138888889
Ohsumed,407,validation,FacebookAI/roberta-large,Surrogate,64,64,0.7,0.1546790599822998,165,8168,0.30001836547291094
Ohsumed,407,validation,FacebookAI/roberta-large,Surrogate,64,64,0.7,0.15404868125915527,165,8168,0.30001836547291094
Ohsumed,407,validation,FacebookAI/roberta-large,Surrogate,64,64,0.7,0.15443038940429688,165,8168,0.30001836547291094
Ohsumed,407,validation,FacebookAI/roberta-large,Surrogate,64,64,0.85,0.1546785831451416,165,4084,0.15000918273645547
Ohsumed,407,validation,FacebookAI/roberta-large,Surrogate,64,64,0.85,0.1544055938720703,165,4084,0.15000918273645547
Ohsumed,407,validation,FacebookAI/roberta-large,Surrogate,64,64,0.85,0.15436983108520508,165,4084,0.15000918273645547
Ohsumed,407,validation,FacebookAI/roberta-large,Surrogate,64,64,0.95,0.15448951721191406,165,1362,0.05002754820936639
Ohsumed,407,validation,FacebookAI/roberta-large,Surrogate,64,64,0.95,0.1539323329925537,165,1362,0.05002754820936639
