ids,tokens,aggregated_weights
981,Ġa,3.0675336e-29
930,Ġawful,2.8242562e-29
982,Ġpretty,2.695053e-29
755,ost,2.6000852e-29
929,Ġis,2.4508042e-29
887,Ġcostumes,2.3953758e-29
441,",",2.3662442e-29
762,'s,2.1833157e-29
705,Ġdrop,2.116389e-29
737,Ġstuff,1.984873e-29
932,Ġmaybe,1.9682369e-29
752,Ġare,1.9457246e-29
485,Ġwith,1.9379502e-29
980,'s,1.8237084e-29
487,Ġreal,1.6508841e-29
891,Ġactually,1.6427218e-29
927,Ġacting,1.5789692e-29
934,Ġworst,1.5446613e-29
295,Ġthem,1.4558584e-29
702,Ġnot,1.4127987e-29
1010,",",1.4075764e-29
427,Ġ&,1.3626349e-29
700,Ġthere,1.3538433e-29
751,Ġeffect,1.2895094e-29
698,Ġ&,1.223085e-29
915,Ġup,1.1878644e-29
1009,Ġthis,1.1609728e-29
796,Ġpuppet,1.1114444e-29
701,'s,1.0993858e-29
893,Ġimpressive,9.449246e-30
760,",",8.423699e-30
986,Ġround,8.296666e-30
436,Ġrather,6.978002e-30
933,Ġthe,6.672762e-30
761,Ġthere,6.0562767e-30
704,Ġsingle,6.016105e-30
885,Ġdesign,5.3994003e-30
890,Ġare,5.163911e-30
486,Ġno,5.1188258e-30
459,Ġ&,4.790485e-30
989,Ġoff,4.767592e-30
877,Ġit,4.558576e-30
703,Ġa,4.4864166e-30
429,rates,3.3841726e-30
758,Ġseries,3.3005357e-30
937,Ġseries,2.7775385e-30
978,Ġ&,2.4468842e-30
979,Ġit,2.4111112e-30
914,Ġdoubles,2.315293e-30
892,Ġquite,1.9115472e-30
903,Ġat,1.7421255e-30
444,Ġfocuses,1.72856e-30
901,Ġto,1.5630299e-30
935,Ġof,1.561454e-30
866,Ġthat,1.1038455e-30
895,Ġit,1.0219811e-30
428,Ġconcent,8.920149e-31
880,Ġnice,8.402957e-31
917,Ġnicely,5.899552e-31
1008,Ġwith,5.6635765e-31
988,Ġseries,5.631323e-31
763,Ġno,5.5890426e-31
442,Ġthe,5.5240805e-31
488,Ġpace,5.3708097e-31
764,Ġstop,4.4740514e-31
987,Ġthe,4.1283446e-31
757,Ġthe,4.0721795e-31
566,Ġbut,3.798737e-31
772,",",3.410804e-31
748,Ġrubbish,3.3896957e-31
567,Ġotherwise,3.0549394e-31
766,Ġanimation,3.0298614e-31
765,Ġmotion,3.0235558e-31
882,Ġthe,2.929608e-31
588,work,2.564857e-31
881,",",2.523145e-31
876,Ġthat,2.405149e-31
904,Ġtimes,2.3966853e-31
773,Ġno,2.127601e-31
296,Ġall,2.1185554e-31
769,Ġin,2.0114495e-31
775,Ġcomputer,1.2848974e-31
768,Ġall,1.2132391e-31
489,Ġ&,9.4335414e-32
767,Ġat,8.8827265e-32
770,Ġthis,8.716434e-32
308,Ġseries,7.0102545e-32
586,Ġre,6.763832e-32
936,Ġthe,6.452774e-32
305,Ġworse,5.3604047e-32
898,Ġfairly,5.192048e-32
298,Ġespecially,4.124956e-32
309,Ġso,3.2211258e-32
863,Ġone,2.7858455e-32
306,Ġof,2.2984316e-32
864,Ġpositive,1.8067025e-32
897,Ġa,1.6037456e-32
871,Ġhave,1.4154781e-32
310,Ġfar,1.4029867e-32
307,Ġthe,1.2966918e-32
303,'s,1.19707084e-32
776,Ġeffects,1.1698552e-32
870,Ġdoes,1.1197075e-32
873,Ġfor,9.89474e-33
490,Ġthe,9.5750664e-33
304,Ġthe,7.508448e-33
302,Ġit,7.491682e-33
875,Ġis,6.2356236e-33
771,Ġone,4.86623e-33
301,Ġas,3.6141973e-33
299,Ġthis,2.4204893e-33
522,ets,2.036777e-33
798,Ġeffects,1.8294426e-33
520,Ġthe,1.4076262e-33
300,Ġone,1.3256961e-33
521,Ġpupp,9.646841e-34
510,Ġcourse,9.23664e-34
509,Ġof,7.933983e-34
511,Ġthere,7.846225e-34
512,'s,7.485952e-34
513,Ġthe,6.7152764e-34
879,Ġrather,6.1980883e-34
516,Ġdecision,5.8540666e-34
514,Ġbaff,5.7948717e-34
517,Ġto,5.7036037e-34
297,",",5.323405e-34
508,ĠThen,4.9389245e-34
790,Ġeffects,4.2844726e-34
518,Ġtotally,3.4691552e-34
460,Ġit,2.47785e-34
491,Ġno,1.6011458e-34
515,ling,1.5843336e-34
462,Ġall,6.203014e-35
874,Ġit,3.0219345e-35
463,Ġrather,2.4661648e-35
461,'s,2.1645899e-35
466,Ġtedious,1.4770521e-35
793,Ġthe,1.362731e-35
464,Ġdull,1.3069511e-35
787,Ġ&,1.266541e-35
467,Ġstuff,1.088091e-35
791,Ġare,1.0122799e-35
797,Ġtype,9.750245e-36
795,Ġrod,9.1484204e-36
497,Ġnever,8.0473286e-36
494,Ġas,7.5186926e-36
470,Ġhonest,6.177606e-36
794,Ġstiff,5.840478e-36
465,Ġ&,5.635996e-36
492,Ġcentral,5.6178367e-36
878,Ġlooks,3.8626078e-36
500,Ġdown,3.3392846e-36
493,Ġconcept,2.7843977e-36
498,Ġreally,2.7823264e-36
506,Ġlot,2.33268e-36
872,Ġgoing,1.7417206e-36
499,Ġsettles,1.5935864e-36
496,Ġplot,1.5732958e-36
792,Ġof,1.5637395e-36
501,Ġ&,1.2890274e-36
568,Ġwe,1.1488301e-36
502,Ġgenerally,1.0243842e-36
503,Ġhops,9.876505e-37
468,Ġto,8.875464e-37
504,Ġaround,6.580125e-37
505,Ġa,3.3555784e-37
788,Ġall,3.260049e-37
469,Ġbe,3.149304e-37
495,Ġthe,2.7612754e-37
789,Ġthe,2.4966424e-37
572,y,8.708657e-38
571,Ġrubbish,7.606386e-38
589,ings,7.361868e-38
574,Ġwooden,3.817168e-38
573,Ġlooking,2.5351793e-38
575,Ġcaric,1.2669068e-38
584,Ġtheir,0.0
585,Ġmodern,0.0
583,Ġas,0.0
570,Ġthese,0.0
579,Ġnowhere,0.0
578,Ġare,0.0
577,Ġthat,0.0
576,atures,0.0
569,Ġget,0.0
582,Ġcool,0.0
580,Ġnear,0.0
581,Ġas,0.0
