from_ids,from_token,to_ids,to_token,weights
27,Ġliving,26,Ġhis,1.251277e-12
16,ĠT,13,Ġpuppet,1.2436511e-12
20,Guy,19,Ġ(,1.2362817e-12
345,:,348,ĠChapter,1.2355225e-12
23,e,20,Guy,1.2207162e-12
348,ĠChapter,344,Ġ5,1.217786e-12
160,Ġthe,160,Ġthe,1.2142838e-12
390,on,326,on,1.214103e-12
253,Ġ(,252,Ġ4,1.2114428e-12
344,Ġ5,348,ĠChapter,1.2085764e-12
341,Ġ&,338,ĠPuppet,1.2081963e-12
25,Ġ&,14,Ġmaster,1.1971693e-12
185,Ġstolen,196,Ġback,1.1881406e-12
24,),25,Ġ&,1.1874111e-12
263,Ġ(,255,"),",1.1812308e-12
345,:,345,:,1.1778605e-12
348,ĠChapter,350,ĠSut,1.1526973e-12
344,Ġ5,345,:,1.1521719e-12
344,Ġ5,252,Ġ4,1.1414605e-12
252,Ġ4,253,Ġ(,1.1386207e-12
345,:,344,Ġ5,1.1330702e-12
35,Ġhold,31,Ġto,1.1277447e-12
20,Guy,23,e,1.1253188e-12
16,ĠT,14,Ġmaster,1.1106545e-12
344,Ġ5,344,Ġ5,1.1083606e-12
26,Ġhis,26,Ġhis,1.1019966e-12
263,Ġ(,261,ĠFinal,1.0968361e-12
265,"),",266,ĠCurse,1.0925953e-12
196,Ġback,185,Ġstolen,1.0881759e-12
19,Ġ(,20,Guy,1.0843698e-12
264,1994,261,ĠFinal,1.081738e-12
338,ĠPuppet,341,Ġ&,1.0744198e-12
175,Ġas,194,Ġwants,1.0675602e-12
256,ĠPuppet,255,"),",1.0654935e-12
255,"),",256,ĠPuppet,1.0654082e-12
81,),68,Ġin,1.064947e-12
268,Ġthe,265,"),",1.0624048e-12
21,ĠR,21,ĠR,1.0496029e-12
76,Ġ(,72,Ġwhen,1.0491306e-12
31,Ġto,35,Ġhold,1.0461372e-12
261,ĠFinal,263,Ġ(,1.037723e-12
25,Ġ&,24,),1.0350465e-12
253,Ġ(,253,Ġ(,1.0337917e-12
13,Ġpuppet,13,Ġpuppet,1.0337049e-12
203,Ġdead,194,Ġwants,1.0327275e-12
21,ĠR,22,olf,1.0310152e-12
266,ĠCurse,265,"),",1.0272856e-12
267,Ġof,265,"),",1.0271014e-12
39,ĠInn,40,Ġpuppet,1.0266686e-12
340,Ġ4,338,ĠPuppet,1.0221101e-12
261,ĠFinal,264,1994,1.0203649e-12
22,olf,21,ĠR,1.0161775e-12
22,olf,22,olf,9.981854e-13
68,Ġin,68,Ġin,9.838371e-13
26,Ġhis,14,Ġmaster,9.827982e-13
18,on,390,on,9.801717e-13
24,),26,Ġhis,9.757695e-13
70,Ġin,68,Ġin,9.623178e-13
21,ĠR,24,),9.613492e-13
68,Ġin,70,Ġin,9.581895e-13
198,Ġeveryone,198,Ġeveryone,9.548361e-13
81,),81,),9.460476e-13
73,Ġhis,72,Ġwhen,9.454686e-13
70,Ġin,70,Ġin,9.37231e-13
40,Ġpuppet,39,ĠInn,9.271073e-13
14,Ġmaster,13,Ġpuppet,9.266141e-13
324,ĠT,42,ĠT,9.262536e-13
13,Ġpuppet,14,Ġmaster,9.231601e-13
191,Ġby,194,Ġwants,9.190035e-13
250,ĠPuppet,252,Ġ4,9.147504e-13
196,Ġback,359,Ġstolen,9.116604e-13
19,Ġ(,25,Ġ&,9.0545995e-13
350,ĠSut,350,ĠSut,9.018422e-13
252,Ġ4,250,ĠPuppet,8.967102e-13
390,on,18,on,8.9363174e-13
19,Ġ(,16,ĠT,8.9013253e-13
25,Ġ&,19,Ġ(,8.8955893e-13
72,Ġwhen,76,Ġ(,8.7697444e-13
254,1993,252,Ġ4,8.713771e-13
6,ĠK,7,ole,8.522248e-13
72,Ġwhen,73,Ġhis,8.49842e-13
26,Ġhis,24,),8.497058e-13
338,ĠPuppet,340,Ġ4,8.424857e-13
208,><,208,><,8.414258e-13
252,Ġ4,254,1993,8.3325827e-13
14,Ġmaster,14,Ġmaster,8.2752164e-13
21,ĠR,19,Ġ(,8.262221e-13
16,ĠT,19,Ġ(,8.2527556e-13
68,Ġin,67,Ġback,8.195282e-13
253,Ġ(,250,ĠPuppet,8.141547e-13
194,Ġwants,191,Ġby,8.14032e-13
194,Ġwants,193,zel,8.109619e-13
70,Ġin,67,Ġback,8.0160276e-13
67,Ġback,68,Ġin,8.0090584e-13
22,olf,19,Ġ(,7.999104e-13
199,Ġwho,194,Ġwants,7.949126e-13
350,ĠSut,352,Ġtrying,7.916655e-13
389,oul,389,oul,7.830784e-13
67,Ġback,70,Ġin,7.8002687e-13
7,ole,6,ĠK,7.6769206e-13
253,Ġ(,254,1993,7.565444e-13
190,Ġplace,194,Ġwants,7.5390123e-13
24,),24,),7.523785e-13
21,ĠR,23,e,7.520628e-13
254,1993,253,Ġ(,7.43596e-13
22,olf,23,e,7.281114e-13
261,ĠFinal,266,ĠCurse,7.250667e-13
193,zel,194,Ġwants,7.201216e-13
352,Ġtrying,350,ĠSut,7.179273e-13
23,e,21,ĠR,7.0515414e-13
23,e,22,olf,6.926663e-13
76,Ġ(,74,Ġyounger,6.8757614e-13
198,Ġeveryone,203,Ġdead,6.737501e-13
75,Ġself,72,Ġwhen,6.7274723e-13
67,Ġback,67,Ġback,6.6714657e-13
19,Ġ(,14,Ġmaster,6.635893e-13
353,Ġto,352,Ġtrying,6.557194e-13
24,),19,Ġ(,6.4662186e-13
23,e,24,),6.458626e-13
353,Ġto,353,Ġto,6.4309923e-13
202,Ġit,198,Ġeveryone,6.3708034e-13
203,Ġdead,198,Ġeveryone,6.363153e-13
352,Ġtrying,352,Ġtrying,6.302181e-13
73,Ġhis,74,Ġyounger,6.1963737e-13
352,Ġtrying,353,Ġto,6.1808864e-13
14,Ġmaster,19,Ġ(,6.1489155e-13
250,ĠPuppet,250,ĠPuppet,6.147625e-13
166,ĠHowever,166,ĠHowever,6.092401e-13
43,oul,40,Ġpuppet,6.0528e-13
198,Ġeveryone,355,Ġeveryone,5.999789e-13
326,on,44,on,5.9844284e-13
167,Ġthe,166,ĠHowever,5.967809e-13
166,ĠHowever,167,Ġthe,5.9479684e-13
16,ĠT,388,ĠT,5.935943e-13
156,Ġthat,156,Ġthat,5.899812e-13
24,),23,e,5.8858306e-13
200,Ġhas,197,Ġ&,5.873785e-13
255,"),",252,Ġ4,5.86991e-13
355,Ġeveryone,198,Ġeveryone,5.8472487e-13
167,Ġthe,167,Ġthe,5.82633e-13
19,Ġ(,24,),5.737249e-13
80,o,71,ĠParis,5.7350495e-13
175,Ġas,166,ĠHowever,5.6985867e-13
74,Ġyounger,76,Ġ(,5.688227e-13
252,Ġ4,255,"),",5.6814286e-13
72,Ġwhen,75,Ġself,5.6544553e-13
271,Ġ(,263,Ġ(,5.634163e-13
157,Ġwere,156,Ġthat,5.5706687e-13
175,Ġas,167,Ġthe,5.562588e-13
172,Ġalso,166,ĠHowever,5.5574664e-13
23,e,19,Ġ(,5.5507926e-13
74,Ġyounger,73,Ġhis,5.51223e-13
263,Ġ(,271,Ġ(,5.5006564e-13
388,ĠT,16,ĠT,5.4802777e-13
166,ĠHowever,172,Ġalso,5.478814e-13
254,1993,254,1993,5.441738e-13
172,Ġalso,167,Ġthe,5.425716e-13
167,Ġthe,172,Ġalso,5.366781e-13
156,Ġthat,157,Ġwere,5.3340736e-13
81,),72,Ġwhen,5.3338806e-13
198,Ġeveryone,199,Ġwho,5.191087e-13
173,Ġa,166,ĠHowever,5.1821443e-13
350,ĠSut,351,ek,5.177955e-13
253,Ġ(,255,"),",5.158378e-13
351,ek,350,ĠSut,5.1407674e-13
175,Ġas,172,Ġalso,5.1222687e-13
346,ĠThe,341,Ġ&,5.0640216e-13
173,Ġa,167,Ġthe,5.05849e-13
23,e,23,e,5.0525794e-13
157,Ġwere,157,Ġwere,5.0365013e-13
352,Ġtrying,355,Ġeveryone,5.0358676e-13
255,"),",253,Ġ(,5.0091496e-13
172,Ġalso,172,Ġalso,4.9977644e-13
19,Ġ(,19,Ġ(,4.9308035e-13
68,Ġin,72,Ġwhen,4.927635e-13
199,Ġwho,198,Ġeveryone,4.897838e-13
184,Ġwas,194,Ġwants,4.858175e-13
70,Ġin,72,Ġwhen,4.8198625e-13
167,Ġthe,175,Ġas,4.693703e-13
173,Ġa,172,Ġalso,4.6580735e-13
34,",",39,ĠInn,4.6575667e-13
72,Ġwhen,68,Ġin,4.6333076e-13
44,on,326,on,4.598654e-13
355,Ġeveryone,352,Ġtrying,4.598092e-13
341,Ġ&,349,Ġwith,4.584554e-13
200,Ġhas,196,Ġback,4.5289299e-13
351,ek,352,Ġtrying,4.512719e-13
72,Ġwhen,70,Ġin,4.512512e-13
202,Ġit,203,Ġdead,4.4953489e-13
203,Ġdead,203,Ġdead,4.4899503e-13
175,Ġas,175,Ġas,4.4761837e-13
30,Ġplan,32,Ġescape,4.4754237e-13
202,Ġit,202,Ġit,4.4691968e-13
203,Ġdead,202,Ġit,4.4638463e-13
75,Ġself,74,Ġyounger,4.409023e-13
172,Ġalso,175,Ġas,4.370041e-13
175,Ġas,173,Ġa,4.3568168e-13
18,on,44,on,4.2685246e-13
172,Ġalso,173,Ġa,4.25353e-13
265,"),",265,"),",4.2518102e-13
389,oul,388,ĠT,4.2255836e-13
32,Ġescape,30,Ġplan,4.1797092e-13
390,on,389,oul,4.133118e-13
352,Ġtrying,351,ek,4.122002e-13
173,Ġa,175,Ġas,4.0705154e-13
388,ĠT,389,oul,4.0464564e-13
389,oul,390,on,4.0382525e-13
67,Ġback,72,Ġwhen,4.0113998e-13
329,Ġ(,329,Ġ(,3.9861083e-13
13,Ġpuppet,40,Ġpuppet,3.96757e-13
173,Ġa,173,Ġa,3.961989e-13
271,Ġ(,266,ĠCurse,3.936642e-13
338,ĠPuppet,338,ĠPuppet,3.9230972e-13
271,Ġ(,268,Ġthe,3.8737256e-13
268,Ġthe,271,Ġ(,3.8706454e-13
72,Ġwhen,67,Ġback,3.859506e-13
271,Ġ(,267,Ġof,3.7443738e-13
267,Ġof,271,Ġ(,3.742032e-13
323,:,259,:,3.728645e-13
254,1993,255,"),",3.7103626e-13
355,Ġeveryone,355,Ġeveryone,3.674172e-13
74,Ġyounger,75,Ġself,3.6676044e-13
255,"),",254,1993,3.665751e-13
159,Ġof,160,Ġthe,3.618879e-13
40,Ġpuppet,13,Ġpuppet,3.4848055e-13
202,Ġit,199,Ġwho,3.4635608e-13
199,Ġwho,203,Ġdead,3.4560115e-13
199,Ġwho,202,Ġit,3.4359126e-13
