split,index,nodes,total_values_for_nodes,edges,total_values_for_edges,total_values_for_graph
validation,8,407,312576,10008,1441152,1753728
validation,9,433,332544,10536,1517184,1849728
validation,10,416,319488,9220,1327680,1647168
validation,11,506,388608,12484,1797696,2186304
validation,12,405,311040,9370,1349280,1660320
validation,13,428,328704,9939,1431216,1759920
validation,14,308,236544,5710,822240,1058784
validation,15,440,337920,9977,1436688,1774608
validation,16,454,348672,10298,1482912,1831584
validation,17,395,303360,8615,1240560,1543920
validation,18,379,291072,8159,1174896,1465968
validation,19,436,334848,9868,1420992,1755840
validation,20,433,332544,10074,1450656,1783200
validation,21,458,351744,11113,1600272,1952016
validation,22,350,268800,7324,1054656,1323456
validation,23,435,334080,9631,1386864,1720944
validation,24,461,354048,11062,1592928,1946976
validation,25,431,331008,10031,1444464,1775472
validation,26,549,421632,14042,2022048,2443680
validation,27,540,414720,13813,1989072,2403792
validation,28,565,433920,14256,2052864,2486784
validation,29,440,337920,10499,1511856,1849776
validation,30,418,321024,8940,1287360,1608384
validation,31,525,403200,13623,1961712,2364912
validation,32,450,345600,10809,1556496,1902096
validation,33,420,322560,9540,1373760,1696320
validation,34,439,337152,10330,1487520,1824672
validation,35,496,380928,11166,1607904,1988832
validation,36,400,307200,9371,1349424,1656624
validation,37,421,323328,9793,1410192,1733520
validation,38,453,347904,11187,1610928,1958832
validation,39,612,470016,16904,2434176,2904192
validation,40,488,374784,11754,1692576,2067360
validation,41,482,370176,11300,1627200,1997376
validation,42,375,288000,8253,1188432,1476432
validation,43,425,326400,10229,1472976,1799376
validation,44,439,337152,10535,1517040,1854192
validation,45,421,323328,9823,1414512,1737840
validation,46,398,305664,8440,1215360,1521024
validation,47,437,335616,9803,1411632,1747248
validation,48,357,274176,7711,1110384,1384560
validation,49,446,342528,10982,1581408,1923936
validation,50,524,402432,13035,1877040,2279472
validation,51,486,373248,11878,1710432,2083680
validation,52,560,430080,14823,2134512,2564592
validation,53,324,248832,6766,974304,1223136
validation,54,404,310272,9541,1373904,1684176
validation,55,471,361728,11686,1682784,2044512
validation,56,393,301824,8786,1265184,1567008
validation,57,441,338688,11056,1592064,1930752
validation,58,497,381696,12887,1855728,2237424
validation,59,418,321024,9013,1297872,1618896
validation,60,421,323328,9682,1394208,1717536
validation,61,406,311808,9279,1336176,1647984
validation,62,547,420096,13461,1938384,2358480
validation,63,468,359424,11401,1641744,2001168
validation,64,548,420864,14106,2031264,2452128
validation,65,503,386304,12843,1849392,2235696
validation,66,447,343296,10186,1466784,1810080
validation,67,416,319488,9217,1327248,1646736
validation,68,519,398592,12616,1816704,2215296
validation,69,491,377088,11850,1706400,2083488
validation,70,571,438528,15288,2201472,2640000
validation,71,337,258816,6861,987984,1246800
validation,72,390,299520,8997,1295568,1595088
validation,73,448,344064,10443,1503792,1847856
validation,74,437,335616,10327,1487088,1822704
validation,75,562,431616,14592,2101248,2532864
validation,76,469,360192,10983,1581552,1941744
validation,77,386,296448,8522,1227168,1523616
validation,78,437,335616,10528,1516032,1851648
validation,79,445,341760,10020,1442880,1784640
validation,80,449,344832,10818,1557792,1902624
validation,81,456,350208,10715,1542960,1893168
validation,82,499,383232,12071,1738224,2121456
validation,83,494,379392,12211,1758384,2137776
validation,84,471,361728,11670,1680480,2042208
validation,85,456,350208,11391,1640304,1990512
validation,86,507,389376,12120,1745280,2134656
validation,87,456,350208,11217,1615248,1965456
validation,88,418,321024,9793,1410192,1731216
validation,89,385,295680,8213,1182672,1478352
validation,90,542,416256,13900,2001600,2417856
validation,91,452,347136,10707,1541808,1888944
validation,92,434,333312,10339,1488816,1822128
validation,93,441,338688,10656,1534464,1873152
validation,94,572,439296,14483,2085552,2524848
validation,95,436,334848,9954,1433376,1768224
validation,96,460,353280,10719,1543536,1896816
validation,97,338,259584,6752,972288,1231872
validation,98,401,307968,9064,1305216,1613184
validation,99,434,333312,10424,1501056,1834368
validation,100,495,380160,11868,1708992,2089152
validation,101,415,318720,8784,1264896,1583616
validation,102,405,311040,9511,1369584,1680624
validation,103,463,355584,11393,1640592,1996176
validation,104,429,329472,9635,1387440,1716912
validation,105,390,299520,8674,1249056,1548576
validation,106,466,357888,11458,1649952,2007840
validation,107,512,393216,12617,1816848,2210064
validation,108,488,374784,11913,1715472,2090256
validation,109,354,271872,7416,1067904,1339776
validation,110,380,291840,8396,1209024,1500864
validation,111,395,303360,8819,1269936,1573296
validation,112,448,344064,10201,1468944,1813008
validation,113,423,324864,9918,1428192,1753056
validation,114,543,417024,13809,1988496,2405520
validation,115,505,387840,12344,1777536,2165376
validation,116,457,350976,10967,1579248,1930224
validation,117,440,337920,9792,1410048,1747968
validation,118,313,240384,6193,891792,1132176
validation,119,498,382464,12262,1765728,2148192
validation,120,438,336384,10786,1553184,1889568
validation,121,492,377856,11509,1657296,2035152
validation,122,390,299520,8410,1211040,1510560
validation,123,366,281088,7290,1049760,1330848
validation,124,497,381696,12097,1741968,2123664
validation,125,436,334848,9980,1437120,1771968
validation,126,601,461568,15956,2297664,2759232
validation,127,433,332544,8821,1270224,1602768
validation,128,393,301824,8800,1267200,1569024
validation,129,444,340992,10299,1483056,1824048
validation,130,407,312576,9274,1335456,1648032
validation,131,493,378624,11688,1683072,2061696
validation,132,404,310272,9297,1338768,1649040
validation,133,469,360192,10768,1550592,1910784
validation,134,434,333312,10932,1574208,1907520
validation,135,514,394752,12582,1811808,2206560
validation,136,452,347136,11059,1592496,1939632
validation,137,399,306432,9065,1305360,1611792
validation,138,499,383232,12391,1784304,2167536
validation,139,527,404736,13183,1898352,2303088
validation,140,511,392448,12825,1846800,2239248
validation,141,386,296448,8375,1206000,1502448
validation,142,478,367104,11356,1635264,2002368
validation,143,374,287232,8304,1195776,1483008
validation,144,482,370176,11719,1687536,2057712
